project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2007384,02-13-2025 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2025-02-13 00:00:00,2025-02-26 00:00:00,None,,Other,Brush,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-11-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-11-11 00:00:00,2024-12-09 00:00:00,None,,Other,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-19-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-06-19 00:00:00,2024-07-03 00:00:00,None,,None,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-01-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-04-01 00:00:00,2022-04-18 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2007384,05-25-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-05-25 00:00:00,2022-06-15 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-06-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-09-06 00:00:00,2024-09-16 00:00:00,None,,Other,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-27-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-10-27 00:00:00,2022-11-08 00:00:00,None,,Other,Pile of Branches from Bottom left corner to a little below top right corner,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-12-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-04-12 00:00:00,2024-04-30 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-05-2023 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2023-07-05 00:00:00,2023-07-23 00:00:00,None,,None,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-15-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-06-15 00:00:00,2022-06-22 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-25-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-05-25 00:00:00,2022-06-15 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-14-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-10-14 00:00:00,2024-10-28 00:00:00,None,,Other,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-22-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-06-22 00:00:00,2022-06-30 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-22-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-06-22 00:00:00,2022-06-30 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-05-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-06-05 00:00:00,2024-06-19 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-22-2023 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2023-05-22 00:00:00,2023-06-06 00:00:00,None,,Other,Fallen Log,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-03-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-07-03 00:00:00,2024-07-17 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-14-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-10-14 00:00:00,2024-10-28 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-27-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-10-27 00:00:00,2022-11-08 00:00:00,None,,Other,Diagonal Log from top right to bottom left,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,01-16-2025,Temple Forest Observatory,-75.195362,40.163652,2025-01-16 00:00:00,2025-02-13 00:00:00,None,,Other,Tree in Center of View,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,0,,,,,,,
2007384,03-30-2023 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2023-03-30 00:00:00,2023-05-22 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-13-2025 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2025-02-13 00:00:00,2025-02-26 00:00:00,None,,Other,downed tree centered in view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-16-2023 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2023-02-16 00:00:00,2023-03-30 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,01-16-2025 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2025-01-16 00:00:00,2025-02-13 00:00:00,None,,Other,Downed trees/brush,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-15-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-06-15 00:00:00,2022-06-30 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-14-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-10-14 00:00:00,2024-10-28 00:00:00,None,,Other,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-05-2023 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2023-07-05 00:00:00,2023-07-25 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-25-2023 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2023-07-25 00:00:00,2023-10-09 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-06-2023 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2023-02-16 00:00:00,2023-03-28 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,12-9-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-12-09 00:00:00,2025-01-16 00:00:00,None,,Other,Brush,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-22-2023 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2023-05-22 00:00:00,2023-06-06 00:00:00,None,,Other,Angled Bundle of branches laying across most of view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-14-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-10-14 00:00:00,2024-10-28 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,12-9-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-12-09 00:00:00,2025-01-16 00:00:00,None,,Other,downed tree centered in view,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-30-2023 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2023-11-30 00:00:00,2024-01-22 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-08-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-11-08 00:00:00,2022-12-01 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,12-9-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-12-09 00:00:00,2025-01-16 00:00:00,None,,Other,Tree in Center of View,2103441,Camera 1,0,Camera Functioning,Chest height,,Parallel,,,,,,,,,,,
2007384,09-16-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-09-16 00:00:00,2024-10-01 00:00:00,None,,Other,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-25-2023 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2023-07-25 00:00:00,2023-11-28 00:00:00,None,,None,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-17-2024 Camera 1 (corrected),Temple Forest Observatory,-75.195362,40.163652,2024-07-17 00:00:00,2024-08-01 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,2,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-08-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-11-08 00:00:00,2022-12-01 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-06-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-09-06 00:00:00,2024-09-16 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-05-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-06-05 00:00:00,2024-06-19 00:00:00,None,,None,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-08-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-11-08 00:00:00,2022-12-01 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-19-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-06-19 00:00:00,2024-07-03 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-30-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-06-30 00:00:00,2022-08-12 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-12-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-04-12 00:00:00,2024-04-30 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-30-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-04-30 00:00:00,2024-05-02 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-03-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-07-03 00:00:00,2024-07-17 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-06-2023 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2023-06-06 00:00:00,2023-07-05 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-22-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-05-22 00:00:00,2024-06-05 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,12-9-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-12-09 00:00:00,2025-01-16 00:00:00,None,,Other,Downed trees/brush,2103474,Camera 2,0,Camera Functioning,Chest height,,Parallel,,,,,,,,,,,
2007384,01-16-2025 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2025-01-16 00:00:00,2025-02-13 00:00:00,None,,Other,downed tree centered in view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-22-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-02-22 00:00:00,2022-03-10 00:00:00,None,,Other,Fallen Log going diagonally from top right to center of view,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,12-01-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-12-01 00:00:00,2022-12-12 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-25-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-05-25 00:00:00,2022-06-08 00:00:00,None,,Other,Fallen Logs,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-16-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-09-16 00:00:00,2024-10-01 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-11-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-11-11 00:00:00,2024-12-09 00:00:00,None,,Other,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-18-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-04-18 00:00:00,2022-05-25 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-01-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-10-01 00:00:00,2024-10-14 00:00:00,None,,Other,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,03-10-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-03-10 00:00:00,2022-04-10 00:00:00,None,,Other,Soil Sensor on left,2103474,Camera 2,0,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2007384,08-01-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-08-01 00:00:00,2024-09-06 00:00:00,None,,Other,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-22-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-06-22 00:00:00,2022-06-30 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-30-2023 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2023-11-30 00:00:00,2024-01-22 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-28-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-09-28 00:00:00,2022-10-27 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-17-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-07-17 00:00:00,2024-08-01 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,2,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-28-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-10-28 00:00:00,2024-11-11 00:00:00,None,,Other,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-27-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-10-27 00:00:00,2022-11-08 00:00:00,None,,Other,Central bunch of branches with tree trunk directly behind,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-22-2021 Camera 1 Edge,Temple Forest Observatory,-75.195362,40.163652,2021-06-22 00:00:00,2021-07-20 00:00:00,None,,Other,Tree with Moss near center of camera FoV,2103441,Camera 1,0,Camera Functioning,Unknown,,Parallel,,,,,,,,,,,
2007384,02-15-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-02-15 00:00:00,2024-03-11 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-22-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-04-22 00:00:00,2022-05-10 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,12-01-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-12-01 00:00:00,2022-12-13 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-18-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-04-18 00:00:00,2022-05-03 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2007384,06-05-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-06-05 00:00:00,2024-06-19 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,03-29-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-03-29 00:00:00,2024-04-12 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-17-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-07-17 00:00:00,2024-08-01 00:00:00,None,,Other,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-16-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-09-16 00:00:00,2024-10-01 00:00:00,None,,Other,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-30-2023 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2023-11-30 00:00:00,2024-01-22 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-08-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-11-08 00:00:00,2022-11-30 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-12-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-04-12 00:00:00,2024-04-30 00:00:00,None,,None,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-28-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-09-28 00:00:00,2022-10-27 00:00:00,None,,None,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,12-01-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-12-01 00:00:00,2022-12-13 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,08-01-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-08-01 00:00:00,2024-09-06 00:00:00,None,,Other,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-22-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-06-22 00:00:00,2022-06-30 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-01-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-04-01 00:00:00,2022-04-18 00:00:00,None,,None,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-28-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-10-28 00:00:00,2024-11-11 00:00:00,None,,Other,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-27-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-10-27 00:00:00,2022-11-09 00:00:00,None,,Other,Tree Dividing Middle,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,12-01-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-12-01 00:00:00,2022-12-13 00:00:00,None,,Other,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,1-16-2025 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2025-01-16 00:00:00,2025-02-13 00:00:00,None,,Other,Brush,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-13-2025 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2025-02-13 00:00:00,2025-02-26 00:00:00,None,,Other,downed tree centered in view,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,03-10-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-03-10 00:00:00,2022-04-01 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-25-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-05-22 00:00:00,2024-06-05 00:00:00,None,,None,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-08-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-11-08 00:00:00,2022-12-01 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-28-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-09-28 00:00:00,2022-10-27 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-22-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-05-22 00:00:00,2024-06-05 00:00:00,None,,Other,Layer of plants at bottom of view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,03-28-2023 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2023-03-28 00:00:00,2023-05-22 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-12-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-04-12 00:00:00,2024-04-30 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-05-2023 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2023-07-05 00:00:00,2023-07-25 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-22-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-05-22 00:00:00,2024-06-05 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,01-23-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-01-23 00:00:00,2024-02-15 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,03-30-2023 Camera 1 First Half,Temple Forest Observatory,-75.195362,40.163652,2023-03-30 00:00:00,2023-05-14 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-22-2023 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2023-05-22 00:00:00,2023-06-06 00:00:00,None,,Other, Center is covered by a bunch of branches,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-25-2023 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2023-07-25 00:00:00,2023-09-13 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,01-23-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-01-23 00:00:00,2024-02-15 00:00:00,None,,Other,Bunch of dead branches take up middle of view,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
